22	3
6	4
3	0
5	0
47	84
119	140
9	0
20	35
21	30
14	36
12	20
29	223
7	18
9	74
6	0
53	38
25	24
11	91
16	62
14	0
32	55
152	165
9	0
8	0
36	0
20	23
14	41
57	146
3	0
64	39
4	0
8	19
8	6
12	19
14	35
6	49
12	22
100	249
6	0
9	0
8	0
3	0
4	0
4	0
10	11
7	0
52	28
3	0
6	0
45	45
13	7
3	0
11	0
5	5
4	0
7	0
19	55
7	3
51	105
3	0
14	21
4	0
5	0
6	27
4	0
6	0
3	0
15	0
15	34
66	86
28	25
44	17
16	0
7	0
10	0
5	4
3	0
3	0
3	0
8	0
3	0
6	0
18	0
4	0
10	4
13	5
39	11
5	0
3	0
16	8
5	0
3	0
8	0
12	5
26	7
19	5
5	0
27	10
3	0
13	9
7	74
3	0
6	9
7	8
8	16
5	33
10	11
3	24
9	15
3	81
14	38
4	4
3	7
13	16
7	17
3	4
4	0
5	14
14	25
19	24
12	13
3	0
3	26
14	87
13	32
4	0
20	48
73	231
83	62
33	267
11	21
6	122
7	17
19	60
11	87
10	119
4	0
7	37
9	10
8	3
5	0
3	0
3	47
141	279
4	15
9	23
3	0
23	38
45	104
54	193
12	25
12	16
4	0
19	30
15	17
3	56
3	9
13	4
9	55
7	0
4	0
3	0
6	3
7	4
6	0
41	128
5	0
14	21
3	3
13	15
6	0
4	9
3	0
12	16
140	273
11	27
3	15
3	3
6	7
5	3
3	4
55	27
3	0
23	65
9	7
4	0
3	0
4	5
3	4
10	17
5	26
3	0
3	0
4	0
10	14
69	125
9	15
11	12
8	7
4	0
10	0
6	0
8	0
10	6
8	0
81	95
6	12
10	7
4	20
9	71
6	0
4	0
4	3
4	15
6	15
7	0
14	69
5	0
3	0
6	0
41	71
4	487
4	10
3	0
83	178
38	74
44	101
6	0
5	0
30	4
67	111
17	4
17	0
6	0
65	56
6	0
17	44
31	34
44	40
3	0
5	0
12	13
134	138
11	4
4	3
